학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
GEKS008 - 01	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 02	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 03	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 04	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 05	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 06	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 07	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 08	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 09	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 10	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 11	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 12	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 13	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 14	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 15	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 16	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 17	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 18	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 19	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 20	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 21	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 22	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 23	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 24	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 25	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 26	[진로·창업] 1학년세미나 II	김상집	1	교양	월(6) 아산이학관 633호	['월']	[[6]]	['아산이학관 633호']
GEKS008 - 27	[진로·창업] 1학년세미나 II	최수용	1	교양	월(6) 아산이학관 433호	['월']	[[6]]	['아산이학관 433호']
GEKS008 - 28	[진로·창업] 1학년세미나 II	정광섭	1	교양	월(6) 아산이학관 331호	['월']	[[6]]	['아산이학관 331호']
GEKS008 - 29	[진로·창업] 1학년세미나 II	조석주	1	교양	월(6)	['월']	[[6]]	['']
GEKS008 - 30	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 31	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 32	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 33	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 34	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 35	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 36	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 37	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 38	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 39	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 40	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 41	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 42	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 43	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 44	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 45	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 46	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 47	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 48	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 49	[진로·창업] 1학년세미나 II		1	교양	금(3-4) 교육관 102호	['금']	[[3, 4]]	['교육관 102호']
GEKS008 - 50	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 51	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 52	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 53	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 54	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 55	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 56	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 57	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 58	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 59	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 60	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 61	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 62	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 63	[진로·창업] 1학년세미나 II		1	교양	미정			
GEKS008 - 64	[진로·창업] 1학년세미나 II		1	교양	미정			
