학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
IFLS800 - 01	Academic English I(영강)	Paulette M. Hawkins	2	교양	"월(5) 국제관 411호
수(5) 국제관 411호"	['월', '수']	[[5], [5]]	['국제관 411호', '국제관 411호']
IFLS800 - 02	Academic English I(영강)	Paulette M. Hawkins	2	교양	"화(4) 국제관 511A호
목(4) 국제관 511A호"	['화', '목']	[[4], [4]]	['국제관 511A호', '국제관 511A호']
IFLS800 - 03	Academic English I(영강)	Paulette M. Hawkins	2	교양	"화(6) 국제관512B
목(6) 국제관512B"	['화', '목']	[[6], [6]]	['국제관512B', '국제관512B']
IFLS800 - 04	Academic English I(영강)	Derek Winchester	2	교양	"화(2) 국제관 412호
목(2) 국제관 412호"	['화', '목']	[[2], [2]]	['국제관 412호', '국제관 412호']
IFLS800 - 05	Academic English I(영강)	Derek Winchester	2	교양	"화(3) 국제관 412호
목(3) 국제관 412호"	['화', '목']	[[3], [3]]	['국제관 412호', '국제관 412호']
IFLS800 - 06	Academic English I(영강)	David M. Docherty	2	교양	"월(1) 국제관 511호
수(1) 국제관 511호"	['월', '수']	[[1], [1]]	['국제관 511호', '국제관 511호']
IFLS800 - 07	Academic English I(영강)	David M. Docherty	2	교양	"월(2) 국제관 511호
수(2) 국제관 511호"	['월', '수']	[[2], [2]]	['국제관 511호', '국제관 511호']
IFLS800 - 08	Academic English I(영강)	David M. Docherty	2	교양	"월(3) 국제관 511호
수(3) 국제관 511호"	['월', '수']	[[3], [3]]	['국제관 511호', '국제관 511호']
IFLS800 - 09	Academic English I(영강)	Anthony Hanf	2	교양	"화(2) 국제관 511A호
목(2) 국제관 511A호"	['화', '목']	[[2], [2]]	['국제관 511A호', '국제관 511A호']
IFLS800 - 10	Academic English I(영강)	Anthony Hanf	2	교양	"화(3) 국제관 511A호
목(3) 국제관 511A호"	['화', '목']	[[3], [3]]	['국제관 511A호', '국제관 511A호']
IFLS800 - 11	Academic English I(영강)	Anthony Hanf	2	교양	"월(1) 국제관 511B호
수(1) 국제관 511B호"	['월', '수']	[[1], [1]]	['국제관 511B호', '국제관 511B호']
