학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
GEST015 - 00	생명의이해	박세호	3	교양	"화(1) 교양관 110호
목(1) 교양관 110호"	['화', '목']	[[1], [1]]	['교양관 110호', '교양관 110호']
GEST044 - 00	생물자원의산업적응용(영강)	김승욱	3	교양	"월(2) 교양관 305호
수(2) 교양관 305호"	['월', '수']	[[2], [2]]	['교양관 305호', '교양관 305호']
GEST045 - 00	인간과식량	서용원	3	교양	"월(1) 교양관 201호
수(1) 교양관 201호"	['월', '수']	[[1], [1]]	['교양관 201호', '교양관 201호']
GEST078 - 00	곰팡이와인간	신현동	3	교양	금(4-5) 교양관 605호	['금']	[[4, 5]]	['교양관 605호']
GEST087 - 00	생명공학에서바라본인체의신비(영강)	김익환	3	교양	"화(2) 
목(2)"	['화', '목']	[[2], [2]]	['', '']
GEST146 - 00	움직임과건강	윤범철	3	교양	"화(2) 교양관 310호
목(2) 교양관 310호"	['화', '목']	[[2], [2]]	['교양관 310호', '교양관 310호']
GEST156 - 00	기후위기와지속가능발전	이우균	3	교양	"월(5) 교양관 311호
수(5) 교양관 311호"	['월', '수']	[[5], [5]]	['교양관 311호', '교양관 311호']
GEST157 - 00	영화속환경과학	박희등	3	교양	"월(6) 교양관 606호
수(6) 교양관 606호"	['월', '수']	[[6], [6]]	['교양관 606호', '교양관 606호']
GEST158 - 00	토양과문명	현승훈	3	교양	"화(5) 교양관 204호
목(5) 교양관 204호"	['화', '목']	[[5], [5]]	['교양관 204호', '교양관 204호']
GEST161 - 00	Python Basics in English(영강)	김준석	3	교양	금(1-2)	['금']	[[1, 2]]	['']
GELA011 - 00	문학의이해	강헌국	3	교양	"월(6) 교양관 103호
수(6) 교양관 103호"	['월', '수']	[[6], [6]]	['교양관 103호', '교양관 103호']
GELA028 - 00	한문소설과야담	윤재민	3	교양	"화(2) 교양관 314호
화(2) 교양관 414호
화(2) 교양관 602호
목(2) 교양관 602호"	['화', '화', '화', '목']	[[2], [2], [2], [2]]	['교양관 314호', '교양관 414호', '교양관 602호', '교양관 602호']
GELA050 - 00	한국현대시산책	고형진	3	교양	"화(5) 교양관 202호
목(5) 교양관 202호"	['화', '목']	[[5], [5]]	['교양관 202호', '교양관 202호']
GELA053 - 00	한국시속에살아있는독일문학	김재혁	3	교양	"화(5) 교양관 209호
목(5) 교양관 209호"	['화', '목']	[[5], [5]]	['교양관 209호', '교양관 209호']
GELA077 - 00	어떻게영화를읽을것인가	편장완	3	교양	화(4-5)	['화']	[[4, 5]]	['']
GELA107 - 00	한국고전문학과배경사상	장효현	3	교양	"월(2) 교양관 209호
수(2) 교양관 209호"	['월', '수']	[[2], [2]]	['교양관 209호', '교양관 209호']
GELA131 - 00	한국의젊은시인들	오형엽	3	교양				
GELA132 - 00	현대음악의이해	류경선	3	교양	"월(5) 교양관 606호
수(5) 교양관 606호"	['월', '수']	[[5], [5]]	['교양관 606호', '교양관 606호']
GELA142 - 00	조선시대문학관의이해	박경남	3	교양	"월(1) 교양관 203호
수(1) 교양관 203호"	['월', '수']	[[1], [1]]	['교양관 203호', '교양관 203호']
GELA144 - 00	동아시아의미술과미학	김용철	3	교양	"월(5) 교양관 203호
수(5) 교양관 203호"	['월', '수']	[[5], [5]]	['교양관 203호', '교양관 203호']
GELA145 - 00	책과독서의역사	김용현	3	교양	"월(5) 교양관 207호
수(5) 교양관 207호"	['월', '수']	[[5], [5]]	['교양관 207호', '교양관 207호']
GELA146 - 00	죽음에대한시적성찰	"장성현,김준연
손주경,장성현
김종훈"	3	교양	"월(5) 교양관 602호
수(5) 교양관 602호"	['월', '수']	[[5], [5]]	['교양관 602호', '교양관 602호']
GESO056 - 00	역사로보는환경	김정규	3	교양	"월(5) 교양관 304호
수(5) 교양관 304호"	['월', '수']	[[5], [5]]	['교양관 304호', '교양관 304호']
GESO101 - 00	범죄와사회	홍영기	3	교양	"화(5) 법학관신관 501호
목(5) 법학관신관 501호"	['화', '목']	[[5], [5]]	['법학관신관 501호', '법학관신관 501호']
GESO108 - 00	일본과동아시아	서승원	3	교양	"화(2) 교양관 207호
목(2) 교양관 207호"	['화', '목']	[[2], [2]]	['교양관 207호', '교양관 207호']
GESO110 - 00	행복의심리학	고영건	3	교양	"화(5) 교양관 602호
목(5) 교양관 602호"	['화', '목']	[[5], [5]]	['교양관 602호', '교양관 602호']
GESO123 - 00	여성학	김희강	3	교양	"월(2) 교양관 202호
수(2) 교양관 202호"	['월', '수']	[[2], [2]]	['교양관 202호', '교양관 202호']
GESO126 - 00	마음·두뇌·교육의이해	김성일	3	교양	"월(5) 현차관 B202호
수(5) 현차관 B202호"	['월', '수']	[[5], [5]]	['현차관 B202호', '현차관 B202호']
GESO138 - 00	금융과보험	김창기	3	교양	"월(6) 교양관 605호
수(6) 교양관 605호"	['월', '수']	[[6], [6]]	['교양관 605호', '교양관 605호']
GESO139 - 00	체제전환기중국의정치및사회에대한이해	이정남	3	교양	"화(5) 교양관 201호
목(5) 교양관 201호"	['화', '목']	[[5], [5]]	['교양관 201호', '교양관 201호']
GESO144 - 00	헌법과정의	김선택	3	교양	"화(5) 교양관 110호
목(5) 교양관 110호"	['화', '목']	[[5], [5]]	['교양관 110호', '교양관 110호']
GESO157 - 00	미디어와민주주의(영강)	심재철	3	교양	"화(6) 교양관 411호
목(6) 교양관 411호"	['화', '목']	[[6], [6]]	['교양관 411호', '교양관 411호']
GESO159 - 00	세계속의한국:세계화와사회변화(영강)	김은기	3	교양	"월(5) 교양관 204호
수(5) 교양관 204호"	['월', '수']	[[5], [5]]	['교양관 204호', '교양관 204호']
GESO161 - 00	행복학개론	신창환	3	교양	금(1-2)	['금']	[[1, 2]]	['']
GESO164 - 00	인간과해양:융합적사고와의식전환	이진한	3	교양	목(5-6) 교양관 403호	['목']	[[5, 6]]	['교양관 403호']
GESO165 - 00	창의적문제해결력과창업	홍후조	3	교양	"화(6) 교양관 104호
목(6) 교양관 104호"	['화', '목']	[[6], [6]]	['교양관 104호', '교양관 104호']
GEFC016 - 00	그림을통해본일본고전문학과문화	김수미	3	교양	"화(5) 교양관 104호
목(5) 교양관 104호"	['화', '목']	[[5], [5]]	['교양관 104호', '교양관 104호']
GEFC054 - 00	동남아시아의지역성과문화	서태열	3	교양	"월(5) 
수(5)"	['월', '수']	[[5], [5]]	['', '']
GEFC090 - 00	문학으로본동아시아문명	최귀묵	3	교양	"화(6) 교양관 105호
목(6) 교양관 105호"	['화', '목']	[[6], [6]]	['교양관 105호', '교양관 105호']
GEFC091 - 00	종교와영화	박종천	3	교양	"월(2) 교양관 602호
수(2) 교양관 602호"	['월', '수']	[[2], [2]]	['교양관 602호', '교양관 602호']
GEFC097 - 00	미국사회와세계의미국화	정일준	3	교양	"월(6) 교양관 104호
수(6) 교양관 104호"	['월', '수']	[[6], [6]]	['교양관 104호', '교양관 104호']
GEFC099 - 00	일본의문화콘텐츠와전통문화	엄인경	3	교양	"월(2) 교양관 311호
수(2) 교양관 311호"	['월', '수']	[[2], [2]]	['교양관 311호', '교양관 311호']
GEFC103 - 00	슬라브세계의이해	최정현	3	교양	"화(3) 교양관 411호
목(3) 교양관 411호"	['화', '목']	[[3], [3]]	['교양관 411호', '교양관 411호']
GEBT001 - 01	[진로·창업] 생명과학의 세계	"박재용,윤봉준
김대성,안준용
최해웅,김성은
정의환,유용상
구강모,이재웅
임경태,홍순준
김희남,박만성
전옥희,노지훈"	3	교양	미정			
GEBT001 - 02	[진로·창업] 생명과학의 세계	"박재용,윤봉준
김대성,안준용
최해웅,김성은
정의환,유용상
구강모,이재웅
임경태,홍순준
김희남,박만성
전옥희,노지훈"	3	교양				
GEBT001 - 03	[진로·창업] 생명과학의 세계	"박재용,윤봉준
김대성,안준용
최해웅,김성은
정의환,유용상
구강모,이재웅
임경태,홍순준
김희남,박만성
전옥희,노지훈"	3	교양				
GEBT001 - 04	[진로·창업] 생명과학의 세계	"박재용,윤봉준
김대성,안준용
최해웅,김성은
정의환,유용상
구강모,이재웅
임경태,홍순준
김희남,박만성
전옥희,노지훈"	3	교양				
GECT001 - 00	정보적사고	김현철	1	교양				
GECT002 - 01	[진로·창업] SW 프로그래밍의 기초		3	교양	월(7-9)	['월']	[[7, 8, 9]]	['']
GECT003 - 01	[진로·창업] 데이터과학과 인공지능	유길상	3	교양	화(1-2)	['화']	[[1, 2]]	['']
GECT003 - 02	[진로·창업] 데이터과학과 인공지능	신승준	3	교양	수(1-2)	['수']	[[1, 2]]	['']
GECT003 - 03	[진로·창업] 데이터과학과 인공지능		3	교양	목(1-2)	['목']	[[1, 2]]	['']
GECT003 - 04	[진로·창업] 데이터과학과 인공지능	김중헌	3	교양	금(1-2)	['금']	[[1, 2]]	['']
GECT003 - 05	[진로·창업] 데이터과학과 인공지능	이동헌	3	교양	금(1-2)	['금']	[[1, 2]]	['']
GECT003 - 06	[진로·창업] 데이터과학과 인공지능	김중헌	3	교양	금(3-4)	['금']	[[3, 4]]	['']
GECT003 - 07	[진로·창업] 데이터과학과 인공지능	신은경	3	교양	금(4-5)	['금']	[[4, 5]]	['']
