학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
GEWR002 - 01	글쓰기	김영애	3	교양	"월(1) 교양관 102호
수(1) 교양관 102호"	['월', '수']	[[1], [1]]	['교양관 102호', '교양관 102호']
GEWR002 - 02	글쓰기	권승태	3	교양	"월(1) 교양관 103호
수(1) 교양관 103호"	['월', '수']	[[1], [1]]	['교양관 103호', '교양관 103호']
GEWR002 - 03	글쓰기	허찬	3	교양	"월(1) 교양관 104호
수(1) 교양관 104호"	['월', '수']	[[1], [1]]	['교양관 104호', '교양관 104호']
GEWR002 - 04	글쓰기	김영애	3	교양	"월(2) 교양관 102호
수(2) 교양관 102호"	['월', '수']	[[2], [2]]	['교양관 102호', '교양관 102호']
GEWR002 - 05	글쓰기	권승태	3	교양	"월(2) 교양관 103호
수(2) 교양관 103호"	['월', '수']	[[2], [2]]	['교양관 103호', '교양관 103호']
GEWR002 - 06	글쓰기	허찬	3	교양	"월(2) 교양관 104호
수(2) 교양관 104호"	['월', '수']	[[2], [2]]	['교양관 104호', '교양관 104호']
GEWR002 - 07	글쓰기	박희현	3	교양	"월(2) 교양관 414호
수(2) 교양관 414호"	['월', '수']	[[2], [2]]	['교양관 414호', '교양관 414호']
GEWR002 - 08	글쓰기	박수민	3	교양	"월(2) 교양관 109호
수(2) 교양관 109호"	['월', '수']	[[2], [2]]	['교양관 109호', '교양관 109호']
GEWR002 - 09	글쓰기	엄상희	3	교양	"월(2) 교양관 110호
수(2) 교양관 110호"	['월', '수']	[[2], [2]]	['교양관 110호', '교양관 110호']
GEWR002 - 10	글쓰기	박주원	3	교양	"월(2) 교양관 111호
수(2) 교양관 111호"	['월', '수']	[[2], [2]]	['교양관 111호', '교양관 111호']
GEWR002 - 11	글쓰기	박희현	3	교양	"월(3) 교양관 414호
수(3) 교양관 414호"	['월', '수']	[[3], [3]]	['교양관 414호', '교양관 414호']
GEWR002 - 12	글쓰기	이나라	3	교양	"월(3) 교양관 109호
수(3) 교양관 109호"	['월', '수']	[[3], [3]]	['교양관 109호', '교양관 109호']
GEWR002 - 13	글쓰기	엄상희	3	교양	"월(3) 교양관 102호
수(3) 교양관 102호"	['월', '수']	[[3], [3]]	['교양관 102호', '교양관 102호']
GEWR002 - 14	글쓰기	박주원	3	교양	"월(3) 교양관 111호
수(3) 교양관 111호"	['월', '수']	[[3], [3]]	['교양관 111호', '교양관 111호']
GEWR002 - 15	글쓰기	박성호	3	교양	"월(3) 교양관 201호
수(3) 교양관 201호"	['월', '수']	[[3], [3]]	['교양관 201호', '교양관 201호']
GEWR002 - 16	글쓰기	강은진	3	교양	"월(3) 교양관 202호
수(3) 교양관 202호"	['월', '수']	[[3], [3]]	['교양관 202호', '교양관 202호']
GEWR002 - 17	글쓰기	이경화	3	교양	"월(3) 교양관 103호
수(3) 교양관 103호"	['월', '수']	[[3], [3]]	['교양관 103호', '교양관 103호']
GEWR002 - 18	글쓰기	박성호	3	교양	"월(4) 교양관 201호
수(4) 교양관 201호"	['월', '수']	[[4], [4]]	['교양관 201호', '교양관 201호']
GEWR002 - 19	글쓰기	김현주	3	교양	"월(4) 교양관 102호
수(4) 교양관 102호"	['월', '수']	[[4], [4]]	['교양관 102호', '교양관 102호']
GEWR002 - 20	글쓰기	정수연	3	교양	"월(4) 교양관 103호
수(4) 교양관 103호"	['월', '수']	[[4], [4]]	['교양관 103호', '교양관 103호']
GEWR002 - 21	글쓰기	유해인	3	교양	"월(4) 교양관 104호
수(4) 교양관 104호"	['월', '수']	[[4], [4]]	['교양관 104호', '교양관 104호']
