학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
COOP031 - 00	현장실습A1	손미현	3	전공선택				
COOP032 - 00	현장실습A2	손미현	3	전공선택				
COOP033 - 00	현장실습A3	손미현	3	전공선택				
COOP061 - 00	현장실습B1	손미현	6	전공선택				
COOP062 - 00	현장실습B2	손미현	6	전공선택				
COOP091 - 00	현장실습C1	손미현	9	전공선택				
COOP092 - 00	현장실습C2	손미현	9	전공선택				
COOP121 - 00	현장실습D1	손미현	12	전공선택				
COMM104 - 00	기초통신수학Ⅱ	김미정	3	전공필수	"화(3) 공학관 466호
목(3) 공학관 466호"	['화', '목']	[[3], [3]]	['공학관 466호', '공학관 466호']
COMM106 - 00	기초프로그래밍	안정섭	3	전공필수	"화(2) 
목(2)"	['화', '목']	[[2], [2]]	['', '']
MOBI103 - 00	로봇프로그래밍	김대겸	3	전공선택	"월(4) 신공학관B109-전산실습실
수(4) 신공학관B109-전산실습실"	['월', '수']	[[4], [4]]	['신공학관B109-전산실습실', '신공학관B109-전산실습실']
MOBI104 - 00	기계동작의원리	김대겸	3	전공필수	"월(5) 생명과학관(동관)107 호
수(5) 생명과학관(동관)107 호"	['월', '수']	[[5], [5]]	['생명과학관(동관)107 호', '생명과학관(동관)107 호']
MOBI105 - 00	에너지수지계산	문준혁	2	전공필수	"화(4) 하나과학관 지하 132호
목(4) 하나과학관 지하 132호"	['화', '목']	[[4], [4]]	['하나과학관 지하 132호', '하나과학관 지하 132호']
PMED164 - 00	증상의과학적이해	김도훈	2	전공필수				
PMED166 - 00	분자생물학	박만성	3	전공필수				
PMED168 - 00	생명의기본탐구	박만성	2	전공필수				
PMED170 - 00	돌봄과이해Ⅱ	김남훈	1	전공필수				
PMED202 - 00	생화학	박석인	3	전공필수				
PMED220 - 00	의학유전학	이지연	3	전공필수				
PMED226 - 00	생화학실습	박석인	2	전공필수				
PMED228 - 00	의과학연구기초Ⅲ	이지연	2	전공필수				
PMED230 - 00	사회적뇌와인간행동	윤호경	2	전공필수				
CYDF184 - 00	과목77	황석중	2	전공필수	금(1-2) 로봇융합관 201호	['금']	[[1, 2]]	['로봇융합관 201호']
CYDF188 - 00	과목19	강찬옥	2	전공필수	금(4-5) 로봇융합관 201호	['금']	[[4, 5]]	['로봇융합관 201호']
CYDF189 - 00	과목60	강찬옥	2	전공필수	수(2-3) 로봇융합관 301호	['수']	[[2, 3]]	['로봇융합관 301호']
CYDF205 - 00	과목10	문종섭	3	전공필수	화(5-6) 생명과학관(동관)107 호	['화']	[[5, 6]]	['생명과학관(동관)107 호']
CYDF209 - 00	과목16(영강)		3	전공필수	"화(5) 미래융합 105호
목(5) 미래융합 105호"	['화', '목']	[[5], [5]]	['미래융합 105호', '미래융합 105호']
CYDF210 - 00	과목17(영강)	이중희	3	전공선택	"화(2) 미래융합 105호
목(2) 미래융합 105호"	['화', '목']	[[2], [2]]	['미래융합 105호', '미래융합 105호']
CYDF213 - 00	과목22(영강)	홍석희	3	전공필수	"월(4) 미래융합 105호
수(4) 미래융합 105호"	['월', '수']	[[4], [4]]	['미래융합 105호', '미래융합 105호']
CYDF216 - 00	과목25(영강)	신영주	3	전공필수	"월(2) 로봇융합관 201호
수(2) 로봇융합관 201호"	['월', '수']	[[2], [2]]	['로봇융합관 201호', '로봇융합관 201호']
