학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
GEKS007 - A1	[진로·창업] 1학년세미나 I	Martin Hemmert	1	교양	미정			
GEKS007 - A2	[진로·창업] 1학년세미나 I	Tony C. Garrett	1	교양	미정			
GEKS007 - A3	[진로·창업] 1학년세미나 I	권성우	1	교양	미정			
GEKS007 - A4	[진로·창업] 1학년세미나 I	김광현	1	교양	미정			
GEKS007 - A5	[진로·창업] 1학년세미나 I	김대기	1	교양	미정			
GEKS007 - A6	[진로·창업] 1학년세미나 I	김대수	1	교양	미정			
GEKS007 - A7	[진로·창업] 1학년세미나 I	김병조	1	교양	미정			
GEKS007 - A8	[진로·창업] 1학년세미나 I	김상용	1	교양	미정			
GEKS007 - A9	[진로·창업] 1학년세미나 I	김영규	1	교양	미정			
GEKS007 - AA	[진로·창업] 1학년세미나 I	김우찬	1	교양	미정			
GEKS007 - AB	[진로·창업] 1학년세미나 I	김재욱	1	교양	미정			
GEKS007 - AC	[진로·창업] 1학년세미나 I	김재환	1	교양	미정			
GEKS007 - AD	[진로·창업] 1학년세미나 I	김정현	1	교양	미정			
GEKS007 - AE	[진로·창업] 1학년세미나 I	김중혁	1	교양	미정			
GEKS007 - AG	[진로·창업] 1학년세미나 I	김창기	1	교양	미정			
GEKS007 - AH	[진로·창업] 1학년세미나 I	김태규	1	교양	미정			
GEKS007 - AI	[진로·창업] 1학년세미나 I	김태진	1	교양	미정			
GEKS007 - AJ	[진로·창업] 1학년세미나 I	나현승	1	교양	미정			
GEKS007 - AK	[진로·창업] 1학년세미나 I	남대일	1	교양	미정			
GEKS007 - AL	[진로·창업] 1학년세미나 I	노인준	1	교양	미정			
GEKS007 - AM	[진로·창업] 1학년세미나 I	문정빈	1	교양	미정			
GEKS007 - AN	[진로·창업] 1학년세미나 I	박경삼	1	교양	미정			
GEKS007 - AR	[진로·창업] 1학년세미나 I	박진관	1	교양	미정			
GEKS007 - AU	[진로·창업] 1학년세미나 I	배종석	1	교양	미정			
GEKS007 - AV	[진로·창업] 1학년세미나 I	백지예	1	교양	미정			
GEKS007 - AW	[진로·창업] 1학년세미나 I	석관호	1	교양	미정			
GEKS007 - AX	[진로·창업] 1학년세미나 I	손범진	1	교양	미정			
GEKS007 - AY	[진로·창업] 1학년세미나 I	신덕정	1	교양	미정			
GEKS007 - AZ	[진로·창업] 1학년세미나 I	안유정	1	교양	미정			
GEKS007 - B1	[진로·창업] 1학년세미나 I	유승원	1	교양	미정			
GEKS007 - B2	[진로·창업] 1학년세미나 I	유시진	1	교양	미정			
GEKS007 - B3	[진로·창업] 1학년세미나 I	유원상	1	교양	미정			
GEKS007 - B4	[진로·창업] 1학년세미나 I	유지송	1	교양	미정			
GEKS007 - B5	[진로·창업] 1학년세미나 I	윤성아	1	교양	미정			
GEKS007 - B6	[진로·창업] 1학년세미나 I	이건웅	1	교양	미정			
GEKS007 - B7	[진로·창업] 1학년세미나 I	이규한	1	교양	미정			
GEKS007 - B8	[진로·창업] 1학년세미나 I	이동섭	1	교양	미정			
GEKS007 - B9	[진로·창업] 1학년세미나 I	이동원	1	교양	미정			
GEKS007 - BA	[진로·창업] 1학년세미나 I	이장혁	1	교양	미정			
GEKS007 - BB	[진로·창업] 1학년세미나 I	이재남	1	교양	미정			
GEKS007 - BC	[진로·창업] 1학년세미나 I	이재민	1	교양	미정			
GEKS007 - BD	[진로·창업] 1학년세미나 I	이재혁	1	교양	미정			
GEKS007 - BE	[진로·창업] 1학년세미나 I	이종호	1	교양	미정			
GEKS007 - BF	[진로·창업] 1학년세미나 I	이희범	1	교양	미정			
GEKS007 - BG	[진로·창업] 1학년세미나 I	임호순	1	교양	미정			
GEKS007 - BH	[진로·창업] 1학년세미나 I	장진욱	1	교양	미정			
GEKS007 - BI	[진로·창업] 1학년세미나 I	전재욱	1	교양	미정			
GEKS007 - BK	[진로·창업] 1학년세미나 I	정인식	1	교양	미정			
GEKS007 - BL	[진로·창업] 1학년세미나 I	정재호	1	교양	미정			
GEKS007 - BM	[진로·창업] 1학년세미나 I	정지웅	1	교양	미정			
GEKS007 - BN	[진로·창업] 1학년세미나 I	정창화	1	교양	미정			
GEKS007 - BO	[진로·창업] 1학년세미나 I	조둠밈	1	교양	미정			
GEKS007 - BP	[진로·창업] 1학년세미나 I	조명현	1	교양	미정			
GEKS007 - BQ	[진로·창업] 1학년세미나 I	지승민	1	교양	미정			
GEKS007 - BR	[진로·창업] 1학년세미나 I	최우석	1	교양	미정			
GEKS007 - BS	[진로·창업] 1학년세미나 I	최진희	1	교양	미정			
GEKS007 - BT	[진로·창업] 1학년세미나 I	편주현	1	교양	미정			
GEKS007 - BU	[진로·창업] 1학년세미나 I	한규홍	1	교양	미정			
GEKS007 - BV	[진로·창업] 1학년세미나 I	한승수	1	교양	미정			
GEKS007 - BW	[진로·창업] 1학년세미나 I	홍세준	1	교양	미정			
GEKS007 - BX	[진로·창업] 1학년세미나 I	황선우	1	교양	미정			
GEKS007 - BY	[진로·창업] 1학년세미나 I	황준호	1	교양	미정			
GEKS007 - BZ	[진로·창업] 1학년세미나 I	강헌국	1	교양	미정			
GEKS007 - C1	[진로·창업] 1학년세미나 I	이형대	1	교양	미정			
GEKS007 - C2	[진로·창업] 1학년세미나 I	이상우	1	교양	미정			
GEKS007 - C3	[진로·창업] 1학년세미나 I	장경준	1	교양	미정			
GEKS007 - C4	[진로·창업] 1학년세미나 I	권보드래	1	교양	미정			
GEKS007 - C5	[진로·창업] 1학년세미나 I	최귀묵	1	교양	미정			
GEKS007 - C6	[진로·창업] 1학년세미나 I	정우봉	1	교양	미정			
GEKS007 - C7	[진로·창업] 1학년세미나 I	이영제	1	교양	미정			
