학수번호-분반,과목명,교수명,학점,이수구분,강의시간표 및 장소
IFLS800 - A1,Academic English I(영강),Manuel Lara,2,교양,"화(3) 국제관512B
목(3) 국제관512B"
IFLS800 - A2,Academic English I(영강),잼버졸탄폴,2,교양,"월(1) 국제관 412호
수(1) 국제관 412호"
IFLS800 - A3,Academic English I(영강),잼버졸탄폴,2,교양,"월(2) 국제관 412호
수(2) 국제관 412호"
IFLS800 - A4,Academic English I(영강),잼버졸탄폴,2,교양,"화(3) 국제관 307A호
목(3) 국제관 307A호"
IFLS800 - A5,Academic English I(영강),Russell Mason,2,교양,"월(3) SK미래관 311
수(3) SK미래관 311"
IFLS800 - A6,Academic English I(영강),Russell Mason,2,교양,"월(4) 국제관 312호
수(4) 국제관 312호"
IFLS800 - A7,Academic English I(영강),Russell Mason,2,교양,"월(5) 국제관 312호
수(5) 국제관 312호"
IFLS800 - A8,Academic English I(영강),Joyce Sun Hyong Paek,2,교양,"월(3) SK미래관 312
수(3) SK미래관 312"
IFLS800 - A9,Academic English I(영강),Joyce Sun Hyong Paek,2,교양,"화(1) 국제관 512A호
목(1) 국제관 512A호"
IFLS800 - B1,Academic English I(영강),Joyce Sun Hyong Paek,2,교양,"화(2) 국제관 512A호
목(2) 국제관 512A호"
IFLS800 - B2,Academic English I(영강),Gil Michael Ian Coombe,2,교양,"월(1) 국제관 211호
수(1) 국제관 211호"
IFLS800 - B3,Academic English I(영강),Gil Michael Ian Coombe,2,교양,"화(3) 국제관 408B호
목(3) 국제관 408B호"
IFLS800 - B4,Academic English I(영강),Zoe Ksan Rubadeau,2,교양,"월(5) 국제관 307A호
수(5) 국제관 307A호"
IFLS800 - B5,Academic English I(영강),Zoe Ksan Rubadeau,2,교양,"월(6) 국제관 307A호
수(6) 국제관 307A호"
IFLS800 - B6,Academic English I(영강),Zoe Ksan Rubadeau,2,교양,"화(3) 국제관 211호
목(3) 국제관 211호"
IFLS800 - B7,Academic English I(영강),Zoe Ksan Rubadeau,2,교양,"화(4) 국제관 212호
목(4) 국제관 212호"
IFLS800 - B8,Academic English I(영강),Zoe Ksan Rubadeau,2,교양,"화(5) 국제관 212호
목(5) 국제관 212호"
IFLS800 - G1,Academic English I(영강),Hudson Lim,2,교양,월(3-4) 국제관 212호
IFLS800 - L1,Academic English I(영강),Mark Robert Eade,2,교양,"월(3) 국제관 512A호
수(3) 국제관 512A호"
IFLS800 - L2,Academic English I(영강),Mark Robert Eade,2,교양,"월(4) 국제관 512A호
수(4) 국제관 512A호"
IFLS800 - L3,Academic English I(영강),Paulette M. Hawkins,2,교양,"월(3) 국제관512B
수(3) 국제관512B"
IFLS800 - L4,Academic English I(영강),Paulette M. Hawkins,2,교양,"화(4) 국제관 407A호
목(4) 국제관 407A호"
IFLS800 - L5,Academic English I(영강),Anthony Hanf,2,교양,"월(1) 국제관 408B호
수(1) 국제관 408B호"
IFLS800 - L6,Academic English I(영강),Anthony Hanf,2,교양,"월(2) 국제관 408B호
수(2) 국제관 408B호"
IFLS800 - L7,Academic English I(영강),Anthony Hanf,2,교양,"화(3) 국제관 511A호
목(3) 국제관 511A호"
IFLS800 - L8,Academic English I(영강),Thomas Walsh,2,교양,"월(2) 국제관 312호
수(2) 국제관 312호"
IFLS800 - L9,Academic English I(영강),Thomas Walsh,2,교양,"화(2) 국제관 412호
목(2) 국제관 412호"
IFLS800 - LA,Academic English I(영강),Thomas Walsh,2,교양,"화(3) 국제관 412호
목(3) 국제관 412호"
IFLS800 - LB,Academic English I(영강),Derek Winchester,2,교양,"월(4) 국제관 412호
수(4) 국제관 412호"
IFLS800 - LC,Academic English I(영강),Derek Winchester,2,교양,"화(3) 국제관 312호
목(3) 국제관 312호"
IFLS800 - LD,Academic English I(영강),Derek Winchester,2,교양,"화(5) 국제관 312호
목(5) 국제관 312호"
IFLS800 - LE,Academic English I(영강),잼버졸탄폴,2,교양,"월(3) 국제관 412호
수(3) 국제관 412호"
IFLS800 - LF,Academic English I(영강),William du Plessis,2,교양,"월(6) 국제관 408B호
수(6) 국제관 408B호"
IFLS800 - LG,Academic English I(영강),Zoe Ksan Rubadeau,2,교양,"월(4) SK미래관 310
수(4) SK미래관 310"
IFLS800 - LH,Academic English I(영강),월쉬널래그첸드라베단,2,교양,"화(2) 국제관 407A호
목(2) 국제관 407A호"
IFLS800 - LI,Academic English I(영강),Anthony Death,2,교양,"화(1) 국제관 511B호
목(1) 국제관 511B호"
IFLS800 - LJ,Academic English I(영강),Anthony Death,2,교양,"월(1) 국제관 411호
수(1) 국제관 411호"
IFLS800 - LK,Academic English I(영강),David M. Docherty,2,교양,"월(3) 국제관 511호
수(3) 국제관 511호"
IFLS800 - LL,Academic English I(영강),David M. Docherty,2,교양,"화(1) 국제관 511호
목(1) 국제관 511호"
IFLS800 - LM,Academic English I(영강),Deborah Moon,2,교양,"월(4) 국제관 211호
수(4) 국제관 211호"
IFLS800 - LN,Academic English I(영강),Deborah Moon,2,교양,"화(6) 국제관 312호
목(6) 국제관 312호"
IFLS800 - LO,Academic English I(영강),Patrice Reidy,2,교양,"화(5) 국제관 112호
목(5) 국제관 112호"
