학수번호-분반,과목명,교수명,학점,이수구분,강의시간표 및 장소
HEED101 - 00,청년발달과자기이해,김은아,3,교양,"화(3) 교육관 303호
목(3) 교육관 303호"
HEED102 - 01,부모되기교육,김경미,3,교양,"화(1) 교양관 403호
목(1) 교양관 403호"
HEED102 - 02,부모되기교육,김경미,3,교양,"화(2) 교양관 209호
목(2) 교양관 209호"
HEED102 - 03,부모되기교육,서진아,3,교양,"월(2) 교육관 204호
수(2) 교육관 204호"
HEED114 - 00,의복과지속가능한생활,황정선,3,전공선택,월(4-5) 현차관 B201호
HEED123 - 00,대학생을위한바른식생활,이정우,3,교양,"화(2) 사대신관 124A호
목(2) 사대신관 124A호"
HEED124 - 00,패션과미디어(영강),조선형,3,교양,월(4-5) 교육관 102호
HEED131 - 01,한국전통복식의이해와활용(영강),"이예영,이보영",3,교양,화(1-2)
HEED131 - 02,한국전통복식의이해와활용,"김유로,이혜진",3,교양,화(4-5) 사대신관 402호
HEED174 - 00,패션소재(영강),이보영,3,전공선택,목(1-2)
HEED213 - 00,청년발달,김은아,3,전공필수,"화(2) 교육관 201호
목(2) 교육관 201호"
HEED233 - 00,의복구성의원리,강보경,3,전공선택,수(1-3) 사대신관 321호
HEED251 - 00,식품학,김유경,2,전공선택,월(2-3) 교육관 311호
HEED253 - 00,식품학실험,김유경,1,전공선택,수(2-3)
HEED284 - 00,영양학(영강),고지원,3,전공선택,"화(3) 교육관 406A호
목(3) 교육관 406A호"
HEED321 - 00,가정경영학의이해,길재홍,3,전공필수,금(5-6) 교육관 202호
HEED331 - 00,가정교과교수법,양지선,3,전공선택,화(5-6)
HEED332 - 00,전생애발달세미나,임정하,3,전공선택,월(3-4)
HEED339 - 00,글로벌복식문화사,이예영,3,전공선택,"화(4) 교육관 310호
목(4) 교육관 310호"
HEED343 - 00,가정교과논리및논술(영강),유난숙,3,전공필수,"화(4) 
목(4)"
HEED351 - 00,조리실습,장태경,3,전공선택,금(1-3) 교육관 309호
HEED373 - 00,가정과문화,"김유경,이예영유난숙",3,전공필수,금(1-2) 교육관 506호
HEED413 - 00,부모교육,박현순,3,전공선택,"월(5) 교육관 103호
수(5) 교육관 103호"
HEED417 - 00,글로벌패션비즈니스,윤남희,3,전공선택,"월(3) 교육관 204호
수(3) 교육관 204호"
HEED427 - 00,디지털패션의상창작,"김유로,조선형",3,전공선택,월(1-3) 교육관 302호
HEED436 - 00,패션정보및상품기획,김태연,3,전공선택,"화(1-2) 교육관 406A호
목(1-2) 교육관 406A호"
EDUC161 - 00,교육철학,신창호,3,전공필수,"월(3) 교육관 504호
수(3) 교육관 504호"
EDUC163 - 00,교육심리학,김성일,3,전공필수,"월(5) 교육관 204호
수(5) 교육관 204호"
EDUC221 - 00,교육과정,홍후조,3,전공필수,화(6-7) 교육관 504호
EDUC225 - 00,교육공학,박인우,3,전공필수,월(1-2) 교육관 304호
EDUC230 - 00,특수교육학개론,손승현,3,전공필수,"화(2) 교육관 302호
목(2) 교육관 302호"
EDUC241 - 00,평생교육개론,이윤진,3,전공선택,화(5-6) 교육관 201호
EDUC251 - 00,교육학강독,신창호,3,전공선택,"월(4) 교육관 501호
수(4) 교육관 501호"
EDUC271 - 00,진로진학상담(영강),이보라,3,전공선택,"월(1) 
수(1)"
EDUC273 - 00,프로그램평가(영강),Pey-Yan Liou,3,전공선택,목(2-3) 교육관 313호
EDUC281 - 00,평생교육방법론(영강),신혜연,3,전공선택,수(6-8) 교육관 303호
EDUC303 - 00,교육학교과교육론,성승희,3,전공필수,월(7-9) 교육관 204호
EDUC308 - 00,교육학교과교재연구및지도법,김은진,3,전공필수,수(4-5) 교육관 312호
EDUC310 - 00,교육학교과논리및논술,권회림,2,전공필수,목(3-4) 교육관 406호
EDUC321 - 00,초급교육통계,홍세희,3,전공선택,"월(2) 교육관 306호
수(2) 교육관 306호"
EDUC331 - 00,교육행정학,이희영,3,전공필수,목(5-6) 교육관 303호
EDUC343 - 00,다문화교육개론,이자형,3,전공선택,"화(5) L-P 205호
목(5) L-P 205호"
EDUC363 - 00,학교현장심리검사도구의활용(영강),이아람,3,전공선택,수(3-4) 교육관 310호
EDUC397 - 00,교육조직의이해,이준희,3,전공선택,수(5-6) 사대신관 124A호
EDUC399 - 00,평생교육실습(영강),송진휘,3,평생교육사,금(5-6) 교육관 313호
EDUC404 - 00,세계의고등교육,김은영,3,전공선택,수(5-6) 교육관 313호
EDUC490 - 00,성인학습및상담론(영강),장은하,3,전공선택,월(5-6) 교육관 304호
EDUC491 - 00,기업교육론,우성미,3,전공선택,목(5-6) 교육관 201호
EDUC497 - 00,교육정치론,강민수,3,전공선택,금(5-6) 교육관 312호
HISE102 - 00,근대화와동아시아세계,서민교,2,교양,화(6-7) 교육관 204호
HISE132 - 00,중국역사와문화입문,SON KOEUN,2,교양,월(6-7) 교육관 301호
HISE133 - 00,일본역사와문화입문,서민교,2,교양,화(3-4) 교육관 504호
HISE134 - 00,서양문화사입문,박혜정,2,교양,화(6-7) 교육관 304호
