학수번호,강의명,시간,교수명
GELI005-1A,학문세계의탐구I,월(1) 교양관 405호 수(1) 교양관 405호,이미진
GELI005-1B,학문세계의탐구I,월(2) 교양관 405호 수(2) 교양관 405호,고운이
GELI005-1C,학문세계의탐구I,월(3) 교양관 405호 수(3) 교양관 405호,고운이
GELI005-1D,학문세계의탐구I,월(4) 교양관 405호 수(4) 교양관 405호,염인수
GELI005-1E,학문세계의탐구I,월(5) 교양관 405호 수(5) 교양관 405호,염인수
GELI005-1H,학문세계의탐구I,화(2) 교양관 405호 목(2) 교양관 405호,류혜원
GELI005-1I,학문세계의탐구I,화(3) 교양관 405호 목(3) 교양관 405호,류혜원
GELI005-1J,학문세계의탐구I,화(4) 교양관 405호 목(4) 교양관 405호,김현정
GELI005-1K,학문세계의탐구I,화(5) 교양관 405호 목(5) 교양관 405호,김현정
GELI005-2A,학문세계의탐구I,월(1) 교양관 410호 수(1) 교양관 410호,정상원
GELI005-2B,학문세계의탐구I,월(2) 교양관 410호 수(2) 교양관 410호,정상원
GELI005-2C,학문세계의탐구I,월(3) 교양관 410호 수(3) 교양관 410호,오연경
GELI005-2D,학문세계의탐구I,월(4) 교양관 410호 수(4) 교양관 410호,오연경
GELI005-2E,학문세계의탐구I,월(5) 교양관 410호 수(5) 교양관 410호,황정혜
GELI005-2F,학문세계의탐구I,월(6) 교양관 410호 수(6) 교양관 410호,오연경
GELI005-2H,학문세계의탐구I,화(2) 교양관 410호 목(2) 교양관 410호,양윤의
GELI005-2I,학문세계의탐구I,화(3) 교양관 410호 목(3) 교양관 410호,양윤의
GELI005-2J,학문세계의탐구I,화(4) 교양관 410호 목(4) 교양관 410호,김민우
GELI005-3A,학문세계의탐구I,월(1)  수(1) ,최빛나라
GELI005-3B,학문세계의탐구I,월(2)  수(2) ,류혜원
GELI005-3C,학문세계의탐구I,월(3)  수(3) ,류혜원
GELI005-3D,학문세계의탐구I,월(4)  수(4) ,김현정
GELI005-3E,학문세계의탐구I,월(5)  수(5) ,김현정
GELI005-3F,학문세계의탐구I,월(6)  수(6) ,최보경
GELI005-3G,학문세계의탐구I,화(1)  목(1) ,이창희
GELI005-3I,학문세계의탐구I,화(3)  목(3) ,김종만
GELI005-3J,학문세계의탐구I,화(4)  목(4) ,김종만
GELI005-3K,학문세계의탐구I,화(5)  목(5) ,김영건
GELI005-3L,학문세계의탐구I,화(6)  목(6) ,김영건
GELI005-4A,학문세계의탐구I,월(1)  수(1) ,남유민
GELI005-4B,학문세계의탐구I,월(2)  수(2) ,남유민
GELI005-4C,학문세계의탐구I,월(3)  수(3) ,백은숙
GELI005-4D,학문세계의탐구I,월(4)  수(4) ,백은숙
GELI005-4E,학문세계의탐구I,월(5)  수(5) ,정다영
GELI005-4F,학문세계의탐구I,월(6)  수(6) ,우성미
GELI005-4G,학문세계의탐구I,화(1)  목(1) ,박수민
GELI005-4H,학문세계의탐구I,화(2)  목(2) ,박수민
GELI005-4I,학문세계의탐구I,화(3)  목(3) ,백은숙
GELI005-4J,학문세계의탐구I,화(4)  목(4) ,백은숙
GELI005-4K,학문세계의탐구I,화(5)  목(5) ,이한주
GELI005-4L,학문세계의탐구I,화(6)  목(6) ,이한주
GELI005-5A,학문세계의탐구I,월(1)  수(1) ,안지은
GELI005-5B,학문세계의탐구I,월(2)  수(2) ,안지은
GELI005-5C,학문세계의탐구I,월(3)  수(3) ,박진영
GELI005-5D,학문세계의탐구I,월(4)  수(4) ,박진영
GELI005-5E,학문세계의탐구I,월(5)  수(5) ,강은진
GELI005-5F,학문세계의탐구I,월(6)  수(6) ,주준영
GELI005-5G,학문세계의탐구I,화(1)  목(1) ,강영미
GELI005-5H,학문세계의탐구I,화(2)  목(2) ,강영미
GELI005-5I,학문세계의탐구I,화(3)  목(3) ,박진영
GELI005-5J,학문세계의탐구I,화(4)  목(4) ,박진영
GELI005-5K,학문세계의탐구I,화(5)  목(5) ,고운선
GELI005-5L,학문세계의탐구I,화(6)  목(6) ,고운선
GELI005-6A,학문세계의탐구I,월(1)  수(1) ,김혜미
GELI005-6B,학문세계의탐구I,월(2)  수(2) ,김혜미
GELI005-6C,학문세계의탐구I,월(3)  수(3) ,박진
GELI005-6D,학문세계의탐구I,월(4)  수(4) ,곽영윤
GELI005-6E,학문세계의탐구I,월(5)  수(5) ,허연실
GELI005-6F,학문세계의탐구I,월(6)  수(6) ,허연실
GELI005-6G,학문세계의탐구I,화(1)  목(1) ,이유진
GELI005-6H,학문세계의탐구I,화(2)  목(2) ,이유진
GELI005-6I,학문세계의탐구I,화(3)  목(3) ,박정선
GELI005-6J,학문세계의탐구I,화(4)  목(4) ,박정선
GELI005-6K,학문세계의탐구I,화(5)  목(5) ,김효연
GELI005-6L,학문세계의탐구I,화(6)  목(6) ,김효연
GELI005-7A,학문세계의탐구I,월(1)  수(1) ,진은경
GELI005-7B,학문세계의탐구I,월(2)  수(2) ,진은경
GELI005-7C,학문세계의탐구I,월(3)  수(3) ,조명희
GELI005-7D,학문세계의탐구I,월(4)  수(4) ,조명희
GELI005-7E,학문세계의탐구I,월(5)  수(5) ,김남규
GELI005-7F,학문세계의탐구I,월(6)  수(6) ,김남규
GELI005-7G,학문세계의탐구I,화(1)  목(1) ,유소연
GELI005-7H,학문세계의탐구I,화(2)  목(2) ,유소연
GELI005-7I,학문세계의탐구I,화(3)  목(3) ,김복희
GELI005-7J,학문세계의탐구I,화(4)  목(4) ,김복희
GELI005-7K,학문세계의탐구I,화(5)  목(5) ,유승현
GELI005-7L,학문세계의탐구I,화(6)  목(6) ,유승현
GELI005-8A,학문세계의탐구I,월(1)  수(1) ,김민주
GELI005-8C,학문세계의탐구I,월(3)  수(3) ,남중권
GELI005-8D,학문세계의탐구I,월(4)  수(4) ,남중권
GELI005-8E,학문세계의탐구I,월(5)  수(5) ,박성태
GELI005-8F,학문세계의탐구I,월(6)  수(6) ,박성태
GELI005-8G,학문세계의탐구I,화(1)  목(1) ,강현석
GELI005-8I,학문세계의탐구I,화(3)  목(3) ,안성진
GELI005-8J,학문세계의탐구I,화(4)  목(4) ,안성진
GELI005-8K,학문세계의탐구I,화(5)  목(5) ,김슬기
GELI005-8L,학문세계의탐구I,화(6)  목(6) ,김슬기
GELI005-9A,학문세계의탐구I,월(1)  수(1) ,김숙향
GELI005-9E,학문세계의탐구I,월(5)  수(5) ,양은선
GELI005-9F,학문세계의탐구I,월(6)  수(6) ,양은선
GELI005-9J,학문세계의탐구I,화(4)  목(4) ,노하늘
GELI005-9K,학문세계의탐구I,화(5)  목(5) ,노하늘
GELI006-01,학문세계의탐구II,월(6) 교양관 405호 수(6) 교양관 405호,김시정
GELI006-02,학문세계의탐구II,월(2)  수(2) ,최윤
GELI006-03,학문세계의탐구II,월(3)  수(3) ,최윤
GELI006-04,학문세계의탐구II,화(5) 교양관 410호 목(5) 교양관 410호,양윤의
GELI006-05,학문세계의탐구II,화(3)  목(3) ,고운이
GELI006-06,학문세계의탐구II,화(4)  목(4) ,고운이
GELI007-A1,학문세계의탐구I,화(4) 교양관 310호 목(4) 교양관 310호,박주영
GELI007-B1,학문세계의탐구I,월(4) 교양관 413호 수(4) 교양관 413호,임형옥
GELI007-B2,학문세계의탐구I,월(3) 교양관 413호 수(3) 교양관 413호,임형옥
GELI007-B3,학문세계의탐구I,화(3) 교양관 303호 목(3) 교양관 303호,박주영
GELI007-B4,학문세계의탐구I,월(1) SK미래관 311 수(1) SK미래관 311,김장미
GELI007-B5,학문세계의탐구I,월(2) SK미래관 311 수(2) SK미래관 311,김장미
GELI007-C1,학문세계의탐구I,화(2) 교양관 305호 목(2) 교양관 305호,류선숙
GELI007-C2,학문세계의탐구I,화(3) 교양관 413호 목(3) 교양관 413호,이아름
GELI007-C3,학문세계의탐구I,화(4) 교양관 413호 목(4) 교양관 413호,이아름
GELI007-C4,학문세계의탐구I,월(1) 교양관 413호 수(1) 교양관 413호,임형옥
GELI007-C5,학문세계의탐구I,월(2) 교양관 413호 수(2) 교양관 413호,임형옥
GELI007-C6,학문세계의탐구I,화(4) 교양관 305호 목(4) 교양관 305호,류선숙
GELI007-C7,학문세계의탐구I,월(3) SK미래관 305 수(3) SK미래관 305,김유선
GELI007-C8,학문세계의탐구I,월(4) SK미래관 305 수(4) SK미래관 305,김유선
GELI008-D1,학문세계의탐구II,월(3) 교양관 210호 수(3) 교양관 210호,김양숙
GELI008-E1,학문세계의탐구II,화(3) 교양관 312호 목(3) 교양관 312호,양가영
GELI008-E2,학문세계의탐구II,화(4) 교양관 312호 목(4) 교양관 312호,양가영
GELI008-F1,학문세계의탐구II,월(2) 교양관 208호 수(2) 교양관 208호,김양숙
GELI008-F2,학문세계의탐구II,화(3) 교양관 305호 목(3) 교양관 305호,류선숙
GELI008-F3,학문세계의탐구II,월(3) 교양관 208호 수(3) 교양관 208호,정환민
GELI008-F4,학문세계의탐구II,월(4) 교양관 208호 수(4) 교양관 208호,백은지
GELI008-F5,학문세계의탐구II,화(5) 교양관 305호 목(5) 교양관 305호,심지연
