학수번호,강의명,시간,교수명
GEWR002-01,글쓰기,월(1) 교양관 105호 수(1) 교양관 105호,권승태
GEWR002-02,글쓰기,월(1) 교양관 303호 수(1) 교양관 303호,허찬
GEWR002-03,글쓰기,월(2) 교양관 207호 수(2) 교양관 207호,김혜령
GEWR002-04,글쓰기,월(2) 교양관 404호 수(2) 교양관 404호,전훈지
GEWR002-05,글쓰기,월(2) 교양관 204호 수(2) 교양관 204호,박주원
GEWR002-06,글쓰기,월(2) 교양관 303호 수(2) 교양관 303호,허찬
GEWR002-07,글쓰기,월(2) 교양관 105호 수(2) 교양관 105호,권승태
GEWR002-08,글쓰기,월(2) 교양관 311호 수(2) 교양관 311호,엄상희
GEWR002-09,글쓰기,월(3) 교양관 311호 수(3) 교양관 311호,엄상희
GEWR002-10,글쓰기,월(3) 교양관 404호 수(3) 교양관 404호,전훈지
GEWR002-11,글쓰기,월(3) 교양관 204호 수(3) 교양관 204호,박주원
GEWR002-12,글쓰기,월(3) 교양관 202호 수(3) 교양관 202호,이효녕
GEWR002-13,글쓰기,월(3) 교양관 309호 수(3) 교양관 309호,박희현
GEWR002-14,글쓰기,월(3) 교양관 209호 수(3) 교양관 209호,박성호
GEWR002-15,글쓰기,월(3) 교양관 305호 수(3) 교양관 305호,이나라
GEWR002-16,글쓰기,월(4) 교양관 209호 수(4) 교양관 209호,박성호
GEWR002-17,글쓰기,월(4) 교양관 202호 수(4) 교양관 202호,이효녕
GEWR002-18,글쓰기,월(4) 교양관 305호 수(4) 교양관 305호,이나라
GEWR002-19,글쓰기,월(4) 교양관 309호 수(4) 교양관 309호,박희현
GEWR002-20,글쓰기,월(4) 교양관 409호 수(4) 교양관 409호,이경화
GEWR002-21,글쓰기,월(4) 교양관 411호 수(4) 교양관 411호,정수연
GEWR002-22,글쓰기,월(5) 교양관 411호 수(5) 교양관 411호,정수연
GEWR002-23,글쓰기,월(5) 교양관 403호 수(5) 교양관 403호,임준서
GEWR002-24,글쓰기,월(5) 교양관 105호 수(5) 교양관 105호,선민서
GEWR002-25,글쓰기,화(5) 교양관 110호 목(5) 교양관 110호,김혜진
GEWR002-26,글쓰기,월(5) 교양관 204호 수(5) 교양관 204호,유해인
GEWR002-27,글쓰기,월(5) 교양관 202호 수(5) 교양관 202호,김동희
GEWR002-28,글쓰기,월(3) 교양관 409호 수(3) 교양관 409호,이경화
GEWR002-29,글쓰기,월(6) 교양관 105호 수(6) 교양관 105호,선민서
GEWR002-30,글쓰기,월(6) 교양관 403호 수(6) 교양관 403호,임준서
