학수번호,강의명,시간,교수명
IFLS800-A1,Academic English I(영강),화(3) 국제관512B 목(3) 국제관512B,Manuel Lara
IFLS800-A2,Academic English I(영강),월(1) 국제관 412호 수(1) 국제관 412호,잼버졸탄폴
IFLS800-A3,Academic English I(영강),월(2) 국제관 412호 수(2) 국제관 412호,잼버졸탄폴
IFLS800-A4,Academic English I(영강),화(3) 국제관 307A호 목(3) 국제관 307A호,잼버졸탄폴
IFLS800-A5,Academic English I(영강),월(3) SK미래관 311 수(3) SK미래관 311,Russell Mason
IFLS800-A6,Academic English I(영강),월(4) 국제관 312호 수(4) 국제관 312호,Russell Mason
IFLS800-A7,Academic English I(영강),월(5) 국제관 312호 수(5) 국제관 312호,Russell Mason
IFLS800-A8,Academic English I(영강),월(3) SK미래관 312 수(3) SK미래관 312,Joyce Sun Hyong Paek
IFLS800-A9,Academic English I(영강),화(1) 국제관 512A호 목(1) 국제관 512A호,Joyce Sun Hyong Paek
IFLS800-B1,Academic English I(영강),화(2) 국제관 512A호 목(2) 국제관 512A호,Joyce Sun Hyong Paek
IFLS800-B2,Academic English I(영강),월(1) 국제관 211호 수(1) 국제관 211호,Gil Michael Ian Coombe
IFLS800-B3,Academic English I(영강),화(3) 국제관 408B호 목(3) 국제관 408B호,Gil Michael Ian Coombe
IFLS800-B4,Academic English I(영강),월(5) 국제관 307A호 수(5) 국제관 307A호,Zoe Ksan Rubadeau
IFLS800-B5,Academic English I(영강),월(6) 국제관 307A호 수(6) 국제관 307A호,Zoe Ksan Rubadeau
IFLS800-B6,Academic English I(영강),화(3) 국제관 211호 목(3) 국제관 211호,Zoe Ksan Rubadeau
IFLS800-B7,Academic English I(영강),화(4) 국제관 212호 목(4) 국제관 212호,Zoe Ksan Rubadeau
IFLS800-B8,Academic English I(영강),화(5) 국제관 212호 목(5) 국제관 212호,Zoe Ksan Rubadeau
IFLS800-G1,Academic English I(영강),월(3-4) 국제관 212호,Hudson Lim
IFLS800-L1,Academic English I(영강),월(3) 국제관 512A호 수(3) 국제관 512A호,Mark Robert Eade
IFLS800-L2,Academic English I(영강),월(4) 국제관 512A호 수(4) 국제관 512A호,Mark Robert Eade
IFLS800-L3,Academic English I(영강),월(3) 국제관512B 수(3) 국제관512B,Paulette M. Hawkins
IFLS800-L4,Academic English I(영강),화(4) 국제관 407A호 목(4) 국제관 407A호,Paulette M. Hawkins
IFLS800-L5,Academic English I(영강),월(1) 국제관 408B호 수(1) 국제관 408B호,Anthony Hanf
IFLS800-L6,Academic English I(영강),월(2) 국제관 408B호 수(2) 국제관 408B호,Anthony Hanf
IFLS800-L7,Academic English I(영강),화(3) 국제관 511A호 목(3) 국제관 511A호,Anthony Hanf
IFLS800-L8,Academic English I(영강),월(2) 국제관 312호 수(2) 국제관 312호,Thomas Walsh
IFLS800-L9,Academic English I(영강),화(2) 국제관 412호 목(2) 국제관 412호,Thomas Walsh
IFLS800-LA,Academic English I(영강),화(3) 국제관 412호 목(3) 국제관 412호,Thomas Walsh
IFLS800-LB,Academic English I(영강),월(4) 국제관 412호 수(4) 국제관 412호,Derek Winchester
IFLS800-LC,Academic English I(영강),화(3) 국제관 312호 목(3) 국제관 312호,Derek Winchester
IFLS800-LD,Academic English I(영강),화(5) 국제관 312호 목(5) 국제관 312호,Derek Winchester
IFLS800-LE,Academic English I(영강),월(3) 국제관 412호 수(3) 국제관 412호,잼버졸탄폴
IFLS800-LF,Academic English I(영강),월(6) 국제관 408B호 수(6) 국제관 408B호,William du Plessis
IFLS800-LG,Academic English I(영강),월(4) SK미래관 310 수(4) SK미래관 310,Zoe Ksan Rubadeau
IFLS800-LH,Academic English I(영강),화(2) 국제관 407A호 목(2) 국제관 407A호,월쉬널래그첸드라베단
IFLS800-LI,Academic English I(영강),화(1) 국제관 511B호 목(1) 국제관 511B호,Anthony Death
IFLS800-LJ,Academic English I(영강),월(1) 국제관 411호 수(1) 국제관 411호,Anthony Death
