학수번호,강의명,시간,교수명,전공명
HANM110-01,동양의지혜,월(2) 국제관 332호 수(2) 국제관 332호,박종우,한문학과
HANM110-02,동양의지혜,월(3)  수(3) ,김윤섭,한문학과
HANM120-01,생활한자,월(2) 교양관 310호 수(2) 교양관 310호,권혁명,한문학과
HANM120-02,생활한자,화(4) 교육관 102호 목(4) 교육관 102호,이미진,한자·한문연구소 
HANM120-03,생활한자,월(4) 교양관 404호 수(4) 교양관 404호,박황희,한문학과
HANM120-04,생활한자,월(6) 교육관 501호 수(6) 교육관 501호,박선이,한자·한문연구소 
HANM120-05,생활한자,금(1-2) 서관 215호,김광섭,한문학과
HANM120-06,생활한자,월(1) 교양관 404호 수(1) 교양관 404호,WANG YANAN,한국언어문화학술확산연구소
HANM120-07,생활한자,화(1) 교양관 201호 목(1) 교양관 201호,양승이,한문학과
HANM120-08,생활한자,월(3) 미디어관 602호 수(3) 미디어관 602호,최혜미,한문학과
HANM120-09,생활한자,화(5) 법학관구관 B102호 목(5) 법학관구관 B102호,권은지,한문학과
HANM120-10,생활한자,화(3) 교양관 404호 목(3) 교양관 404호,윤선영,한자·한문연구소 
HANM120-11,생활한자,화(2) 서관 132호 목(2) 서관 132호,김홍구,한자·한문연구소 
HANM133-01,교양한문Ⅰ,월(3) 서관 307호 수(3) 서관 307호,구순옥,한문학과
HANM133-02,교양한문Ⅰ,화(3) CJ법학관 512A호 목(3) CJ법학관 512A호,박희인,한문학과
HANM141-00,초급한문,월(2) 서관 224B호 수(2) 서관 224B호,양원석,한문학과
HANM142-00,중급한문,화(2) 법학관신관 206호 목(2) 법학관신관 206호,김병애,한문학과
CHEM151-03,일반화학및연습Ⅰ,화(4) 아산이학관 330호 목(4) 아산이학관 330호,정광섭,화학과
CHEM151-04,일반화학및연습Ⅰ,화(1) 아산이학관 633호 목(1) 아산이학관 633호,김병윤,기초과학연구소 
CHEM153-01,일반화학실험Ⅰ,수(4-5) 이학관별관 305호,박민진,화학과
CHEM153-02,일반화학실험Ⅰ,수(4-5) 이학관별관 309호,이주용,화학과
CHEM153-03,일반화학실험Ⅰ,목(4-5) 이학관별관 305호,박민진,화학과
CHEM153-04,일반화학실험Ⅰ,목(4-5) 이학관별관 309호,이주용,화학과
CHEM153-05,일반화학실험Ⅰ,수(2-3) 이학관별관607,정상영,이과대학
CHEM153-06,일반화학실험Ⅰ,수(2-3) 이학관별관 305호,박민진,화학과
CHEM153-07,일반화학실험Ⅰ,수(2-3) 이학관별관 309호,이주용,화학과
CHEM153-08,일반화학실험Ⅰ,월(2-3) 이학관별관 305호,윤종호,이과대학
CHEM153-09,일반화학실험Ⅰ,월(2-3) 이학관별관 309호,이주용,화학과
CHEM153-10,일반화학실험Ⅰ,목(2-3) 이학관별관605,이순용,이과대학
CHEM153-11,일반화학실험Ⅰ,목(2-3) 이학관별관 307호,김우성,이과대학
CHEM153-12,일반화학실험Ⅰ,월(4-5) 이학관별관 302호,심상희,화학과
CHEM153-13,일반화학실험Ⅰ,월(4-5) 이학관별관 305호,심상희,화학과
CHEM153-14,일반화학실험Ⅰ,월(4-5) 이학관별관 307호,심상희,화학과
CHEM153-15,일반화학실험Ⅰ,월(4-5) 이학관별관 309호,심상희,화학과
CHEM153-16,일반화학실험Ⅰ,월(4-5) 이학관별관605,심상희,화학과
CHEM153-17,일반화학실험Ⅰ,월(4-5) 이학관별관607,심상희,화학과
CHEM153-18,일반화학실험Ⅰ,월(6-8) 이학관별관 302호,심상희,화학과
CHEM153-19,일반화학실험Ⅰ,월(6-8) 이학관별관 305호,심상희,화학과
CHEM153-20,일반화학실험Ⅰ,월(6-8) 이학관별관 307호,심상희,화학과
CHEM153-21,일반화학실험Ⅰ,월(6-8) 이학관별관 309호,심상희,화학과
CHEM153-22,일반화학실험Ⅰ,월(6-8) 이학관별관605,심상희,화학과
CHEM153-23,일반화학실험Ⅰ,월(6-8) 이학관별관607,심상희,화학과
CHEM153-24,일반화학실험Ⅰ,수(2-3) 이학관별관 302호,최진주,화학과
CHEM153-25,일반화학실험Ⅰ,수(2-3) 이학관별관 307호,전민아,화학과
CHEM153-26,일반화학실험Ⅰ,목(4-5) 이학관별관 302호,최진주,화학과
CHEM153-27,일반화학실험Ⅰ,목(4-5) 이학관별관 307호,전민아,화학과
CHEM153-28,일반화학실험Ⅰ,수(4-5) 이학관별관 302호,최진주,화학과
CHEM153-29,일반화학실험Ⅰ,수(4-5) 이학관별관 307호,전민아,화학과
CHEM153-30,일반화학실험Ⅰ,수(4-5) 이학관별관605,원찬주,이과대학
CHEM153-31,일반화학실험Ⅰ,수(4-5) 이학관별관607,나현지,이과대학
CHEM153-32,일반화학실험Ⅰ,금(2-3) 이학관별관 302호,최진주,화학과
CHEM153-33,일반화학실험Ⅰ,금(2-3) 이학관별관 307호,전민아,화학과
CHEM153-34,일반화학실험Ⅰ,금(2-3) 이학관별관 305호,고상윤,이과대학
CHEM153-35,일반화학실험Ⅰ,금(2-3) 이학관별관 309호,이지혜,이과대학
CHEM153-36,일반화학실험Ⅰ,수(2-3) 이학관별관605,김태린,화학과
CHEM153-37,일반화학실험Ⅰ,목(4-5) 이학관별관605,윤종호,이과대학
CHEM153-38,일반화학실험Ⅰ,금(4-5) 이학관별관 307호,김우성,이과대학
CHEM153-39,일반화학실험Ⅰ(영강),금(4-5) 이학관별관 305호,현다경,이과대학
CHEM153-40,일반화학실험Ⅰ,금(4-5) 이학관별관 302호,하정민,이과대학
CHEM153-41,일반화학실험Ⅰ,목(2-3) 이학관별관 302호,지민훈,이과대학
CHEM153-42,일반화학실험Ⅰ,목(2-3) 이학관별관 305호,박민진,화학과
CHEM153-43,일반화학실험Ⅰ,목(2-3) 이학관별관 309호,이지혜,이과대학
CHEM155-01,일반화학실험,화(4-5) 이학관별관 302호,진경석,화학과
CHEM155-02,일반화학실험,화(4-5) 이학관별관 305호,진경석,화학과
CHEM155-03,일반화학실험,화(4-5) 이학관별관 307호,진경석,화학과
CHEM155-04,일반화학실험,화(4-5) 이학관별관 309호,진경석,화학과
CHEM155-05,일반화학실험,화(4-5) 이학관별관605,진경석,화학과
CHEM155-06,일반화학실험,화(4-5) 이학관별관607,진경석,화학과
CHEM155-07,일반화학실험,화(6-8) 이학관별관 302호,진경석,화학과
CHEM155-08,일반화학실험,화(6-8) 이학관별관 305호,진경석,화학과
CHEM155-09,일반화학실험,화(6-8) 이학관별관 307호,진경석,화학과
CHEM155-10,일반화학실험,화(6-8) 이학관별관 309호,진경석,화학과
CHEM155-11,일반화학실험,화(6-8) 이학관별관605,진경석,화학과
CHEM155-12,일반화학실험,화(6-8) 이학관별관607,진경석,화학과
CHEM155-13,일반화학실험,화(2-3) 이학관별관 302호,이용호,화학과
CHEM155-14,일반화학실험,화(2-3) 이학관별관 305호,이용호,화학과
CHEM155-15,일반화학실험,화(2-3) 이학관별관 307호,이용호,화학과
CHEM155-16,일반화학실험,화(2-3) 이학관별관 309호,이용호,화학과
CHEM155-17,일반화학실험,금(5-6) 이학관별관605,김정륜,이과대학
CHEM155-18,일반화학실험(영강),금(5-6) 이학관별관 309호,홍지원,이과대학
PHYS151-01,일반물리학및연습Ⅰ,화(2) 아산이학관 433호 목(2) 아산이학관 433호,조동현,물리학과
PHYS151-02,일반물리학및연습Ⅰ(영강),화(2) 아산이학관 535호 목(2) 아산이학관 535호,홍석철,물리학과
PHYS151-03,일반물리학및연습Ⅰ,월(2) 아산이학관 113호 수(2) 아산이학관 113호,강세종,물리학과
PHYS151-04,일반물리학및연습Ⅰ(영강),월(2) 아산이학관 535호 수(2) 아산이학관 535호,유재혁,물리학과
PHYS151-05,일반물리학및연습Ⅰ(영강),월(2) 아산이학관 536호 수(2) 아산이학관 536호,김민혁,물리학과
PHYS151-06,일반물리학및연습Ⅰ(영강),월(4) 아산이학관 433호 수(4) 아산이학관 433호,원은일,물리학과
PHYS151-07,일반물리학및연습Ⅰ,화(2) 아산이학관 112호 목(2) 아산이학관 112호,박규환,물리학과
PHYS151-08,일반물리학및연습Ⅰ,화(4) 아산이학관 433호 목(4) 아산이학관 433호,최준곤,물리학과
