학수번호,강의명,시간,교수명
GEST015-00,생명의이해,화(2) 교양관 304호 목(2) 교양관 304호,신정섭
GEST028-00,환경과사회,월(3) 교양관 402호 수(3) 교양관 402호,김지형
GEST030-00,바이오산업과생명공학기술,월(2) SK미래관 4005 수(2) SK미래관 4005,김승욱
GEST071-00,생활속의생물학,월(2) 교양관 411호 수(2) 교양관 411호,정남현
GEST078-00,곰팡이와인간,월(6) 교양관 606호 수(6) 교양관 606호,신현동
GEST087-00,생명공학에서바라본인체의신비(영강),화(2)  목(2) ,김익환
GEST137-00,생물다양성과진화,화(5) 아산이학관 231호 목(5) 아산이학관 231호,배연재
GEST146-00,움직임과건강,화(2) 교양관 314호 목(2) 교양관 314호,윤범철
GEST152-00,과학적어리석음으로부터의탈출(영강),화(6)  목(6) ,이정일
GEST152-01,과학적어리석음으로부터의탈출(영강),월(5)  수(5) ,이정일
GEST152-02,과학적어리석음으로부터의탈출(영강),월(5)  수(5) ,이정일
GEST152-03,과학적어리석음으로부터의탈출(영강),월(5)  수(5) ,이정일
GEST152-04,과학적어리석음으로부터의탈출(영강),월(5)  수(5) ,이정일
GEST152-05,과학적어리석음으로부터의탈출(영강),월(5)  수(5) ,이정일
GEST152-06,과학적어리석음으로부터의탈출(영강),화(6)  목(6) ,이정일
GEST152-07,과학적어리석음으로부터의탈출(영강),화(6)  목(6) ,이정일
GEST158-00,토양과문명,화(5) 교양관 204호 목(5) 교양관 204호,현승훈
GEST159-00,파이썬기초알고리즘,금(1-2) ,김준석
GEST160-00,인간기억과효율적인외국어학습,화(4) 교양관 202호 목(4) 교양관 202호,남기춘
GELA050-00,한국현대시산책,화(5) 교양관 202호 목(5) 교양관 202호,고형진
GELA053-00,한국시속에살아있는독일문학,화(5) 교양관 209호 목(5) 교양관 209호,김재혁
GELA077-00,어떻게영화를읽을것인가,화(4-5) ,편장완
GELA107-00,한국고전문학과배경사상,월(2) 교양관 304호 수(2) 교양관 304호,장효현
GELA131-00,한국의젊은시인들,,
GELA134-00,클래식음악의이해와감상,월(5) 교양관 606호 수(5) 교양관 606호,류경선
GELA142-00,조선시대문학관의이해,월(2) 교양관 306호 수(2) 교양관 306호,박경남
GELA143-00,문학으로젠더읽기,월(2) 교양관 406호 수(2) 교양관 406호,윤조원
GELA145-00,책과독서의역사,월(5) 교양관 306호 수(5) 교양관 306호,김용현
GESO056-00,역사로보는환경,월(5) 교양관 210호 수(5) 교양관 210호,김정규
GESO068-00,현대식품생산과소비의사회학,화(2) 교양관 411호 목(2) 교양관 411호,김철규
GESO101-00,범죄와사회,월(5) 법학관신관 501호 수(5) 법학관신관 501호,홍영기
GESO108-00,일본과동아시아,화(2) 교양관 605호 목(2) 교양관 605호,서승원
GESO119-00,현대사회와고등교육,월(3) 법학관신관 207호 수(3) 법학관신관 207호,변기용
GESO143-00,중국의대외정책과동아시아국제관계,화(4) 교양관 602호 목(4) 교양관 602호,이정남
GESO144-00,헌법과정의,화(5) 교양관 311호 목(5) 교양관 311호,김선택
GESO155-00,사랑의심리학,화(5) 교양관 602호 목(5) 교양관 602호,고영건
GESO157-00,미디어와민주주의(영강),월(1) 교양관 110호 수(1) 교양관 110호,심재철
GESO158-00,글로벌사회와다양성(영강),월(5) 교양관 303호 수(5) 교양관 303호 수(5) 국제관609 수(5) 법학관구관 B103호,이보라
GESO159-00,세계속의한국:세계화와사회변화(영강),화(1) 교양관 404호 목(1) 교양관 404호,김은기
GESO160-00,시대정신과인권,화(5) 교양관 606호 목(5) 교양관 606호,이준일
GESO162-00,현대인의정신건강과회복탄력성(영강),화(3) 교양관 411호 목(3) 교양관 411호,이아람
GEFC090-00,문학으로본동아시아문명,월(6) 교양관 412호 목(6) 교양관 412호,최귀묵
GEFC091-00,종교와영화,월(2) 교양관 602호 수(2) 교양관 602호,박종천
GEFC100-00,번역을통해본근대동아시아문화의형성,화(4) 교양관 606호 목(4) 교양관 606호,김효순
GEFC105-00,이슬람문화의이해,월(5) 교양관 209호 수(5) 교양관 209호,박현도
GECE013-00,"철학에로의초대:초월,신,자아,인식",월(5) 교양관 605호 수(5) 교양관 605호,김창래
GECE106-00,감정과삶,미정(0) ,최기홍
GECE109-00,예절의회복탄력성을위한배려철학,월(5) 교양관 110호 수(5) 교양관 110호,신창호
SPFL107-00,말레이인도네시아의언어와문화,월(3) 교양관 203호 수(3) 교양관 306호,유진희
SPFL117-00,포르투갈-브라질의언어와문화,월(2) 교양관 210호 수(2) 교양관 210호,김계리
SPFL131-01,심화글쓰기,화(6) 교양관 310호 목(6) 교양관 310호,황정현
SPFL131-02,심화글쓰기,월(2) 교양관 110호 수(2) 교양관 110호,장미정
SPFL131-03,심화글쓰기,화(5) 교양관 310호 목(5) 교양관 310호,황정현
SPFL131-04,심화글쓰기,월(3) 교양관 207호 수(3) 교양관 207호,김혜령
SPFL131-G1,심화글쓰기,월(2) 교양관 414호 수(2) 교양관 414호,박정은
SPGE107-00,낭만파음악산책,목(3-4) 교양관 605호,박지영
SPGE108-00,판소리의이해,월(3-4) 교양관 303호,박인혜
SPGE113-00,이슬람문화와역사,월(4) 교양관 306호 수(4) 교양관 306호,성일광
SPGE129-00,사회봉사의이론과실제,월(7-8) 교양관 105호,변민수
SPGE166-00,기초음악작곡법,월(2) 교양관 606호 수(2) 교양관 606호,류경선
SPGE176-01,한국의역사와문화(영강),수(2) 본교대강당101(김양현홀) 금(2) 본교대강당101(김양현홀),김성남
SPGE176-02,한국의역사와문화(영강),수(4) 본교대강당101(김양현홀) 금(4) 본교대강당101(김양현홀),김성남
SPGE208-00,생애설계와자기이해,목(3) 교양관 207호,김언희
SPGE209-00,한국음악의세계,화(1) 교양관 606호 목(1) 교양관 606호,김지혜
SPGE215-00,인권의이해,화(5) 교양관 303호 목(5) 교양관 303호,정다영
SPGE217-00,스타트업소셜이노베이션,수(2-3) 교양관 203호,김준학
SPGE218-00,스타트업글로벌시장진출전략,월(4-5) 교양관 207호,홍정훈
SPGE220-01,스타트업CampusCEO2.0(I),금(2-3) 교양관 210호,위강순
SPGE220-02,스타트업CampusCEO2.0(I),금(4-5) 교양관 210호,위강순
SPGE221-01,스타트업CAMPUSCEO2.0(II),목(2-3) 교양관 306호,한관수
SPGE221-02,스타트업CAMPUSCEO2.0(II),목(4-5) 교양관 306호,한관수
SPGE223-00,다양성과미래사회,월(5) 교양관 305호 수(5) 교양관 305호,이주연
SPGE225-00,합창음악과발성법의이해,화(5-6) ,한규원
SPGE230-00,현장실습Ⅰ,,
SPGE231-00,현장실습Ⅱ,,
SPGE232-00,현장실습III,,
SPGE233-00,현장실습IV,,
SPGE234-00,메타버스한국어,월(5) 교양관 406호 수(5) 교양관 406호,심지연
SPGE235-00,직업세계와직업탐색,화(3-4) 교양관 605호,양준영
SPGE236-00,현장실습Ⅰ-2,,
SPGE237-00,현장실습Ⅰ-3,,
SPGE238-00,현장실습Ⅰ-4,,
SPGE241-00,현장실습Ⅱ-2,,
SPGE242-00,현장실습Ⅱ-3,,
SPGE243-00,현장실습Ⅲ-2,,
SPGE244-00,오페라의이해와실현,화(2-3) 교양관 606호,강지영
SPGE245-00,극음악의이해,화(3)  목(3) ,김은혜
SPGE246-00,클래식음악의대중화,화(4)  목(4) ,김은혜
SPGE247-00,기초아랍어Ⅰ,화(2) 교양관 303호 목(2) 교양관 303호,김종도
SPGE248-00,기초아랍어Ⅱ,화(5) 교양관 207호 목(5) 교양관 207호,김재희
SPGE250-00,공간디자인의이해(영강),목(5-6) 교양관 103호,서여원
SPGE251-00,동아시아지리와지역,월(2) 교양관 309호 수(2) 교양관 309호,김봉식
SPGE252-00,연극의이해,월(1) 교양관 210호 수(1) 교양관 210호,정명문
SPGE253-00,아프리카바로이해하기,월(3) 교양관 403호 수(3) 교양관 403호,김계리
SPGE254-00,사회봉사의기획과실천,월(9-10) 교양관 105호,변민수
SPGE255-00,인물로보는중동사,월(5) 교양관 309호 수(5) 교양관 309호,성일광
SPGE256-00,현대중동의이해,화(6) 교양관 404호 목(6) 교양관 404호,김재희
SPGE257-00,음악의기초이론,월(3) 교양관 606호 수(3) 교양관 606호,류경선
SPGE258-00,화성의이해,월(4) 교양관 606호 수(4) 교양관 606호,류경선
SPGE259-00,한국대중음악과매체,월(3) 교양관 102호 수(3) 교양관 102호,강미진
SPGE260-00,대중음악장르탐색,화(3) 교양관 109호 목(3) 교양관 109호,손윤재
GEQR067-00,하이퍼텍스트와계산가능성,수(3) 교양관 602호 금(3) 교양관 602호,박성빈
GEQR082-00,디지털거버넌스,월(4) 교양관 105호 수(4) 교양관 105호,김시정
GEQR084-00,인공지능과인간,화(2) 교양관 404호 목(2) 교양관 404호,김지연
GEQR088-00,디지털사유와정치경제,월(3) 교양관 304호 수(3) 교양관 304호,원도연
GEQR090-00,디지털인문학을위한데이터처리와분석,월(6) 교양관 411호 수(6) 교양관 411호,이도길
GEQR092-00,"웹툰,한류,그리고미래콘텐츠",목(3-4) 법학관구관 B102호,이정민
GEHI033-00,삼국유사의세계,화(2) 교양관 203호 화(2) 교양관 208호 화(2) 교양관 313호 화(2) 교양관 602호 목(2) 교양관 602호,윤재민
GEHI037-00,조선시대국왕과왕실문화,수(2) 교양관 605호 금(2) 교양관 605호,강제훈
GEHI041-00,환경문명사,월(5)  수(5) ,서태열
GEHI087-00,대한민국헌법사,월(6) 법학관신관 201호 수(6) 법학관신관 201호,장영수
GEHI089-00,도시로보는중국사,월(4)  수(4) ,윤형진
GEHI091-00,만주의역사와한국,화(2) 교양관 110호 목(2) 교양관 110호,김선민
GEHI092-00,한국문화론의재검토,월(5) 교양관 306호 수(5) 교양관 306호,김문용
